origin,dest,ridership,orig_lat,orig_lon,dest_lat,dest_lon
Tanjong Malim,Klang,771,3.6828,101.5218,3.0426,101.4496
Tanjong Malim,Kuala Lumpur,5779,3.6828,101.5218,3.1397,101.6938
Tanjong Malim,Midvalley,200,3.6828,101.5218,3.1189,101.6789
Tanjong Malim,Nilai,184,3.6828,101.5218,2.8123,101.7901
Tanjong Malim,Padang Jawa,394,3.6828,101.5218,3.0487,101.4907
Tanjong Malim,Rawang,5868,3.6828,101.5218,3.3192,101.5746
Tanjong Malim,Serdang,122,3.6828,101.5218,3.0236,101.7144
Tanjong Malim,Seremban,503,3.6828,101.5218,2.7186,101.9394
Tanjong Malim,Shah Alam,895,3.6828,101.5218,3.0564,101.5278
Tanjong Malim,Subang Jaya,281,3.6828,101.5218,3.0822,101.5858
Tanjong Malim,Sungai Buloh,21053,3.6828,101.5218,3.2064,101.5814
Tanjong Malim,Taman Wahyu,17,3.6828,101.5218,3.2144,101.6725
Tanjong Malim,Tanjong Malim,118,3.6828,101.5218,3.6828,101.5218
