origin,destination,total_ridership,origin_label,destination_label,log_ridership
AG06: Bandaraya,KJ03: Wangsa Maju,8621,Bandaraya,Wangsa Maju,3.935557645093014
AG06: Bandaraya,KJ04: Sri Rampai,6772,Bandaraya,Sri Rampai,3.830716949436898
AG06: Bandaraya,KJ09: Ampang Park,2874,Bandaraya,Ampang Park,3.4584867637982066
AG06: Bandaraya,KJ10: KLCC,13956,Bandaraya,KLCC,4.144760960776074
AG06: Bandaraya,KJ13: Masjid Jamek,28691,Bandaraya,Masjid Jamek,4.457745685468492
AG06: Bandaraya,KJ14: Pasar Seni,8208,Bandaraya,Pasar Seni,3.9142373477677412
AG06: Bandaraya,KJ15: KL Sentral,14474,Bandaraya,KL Sentral,4.160588568290034
AG06: Bandaraya,KJ16: Bank Rakyat Bangsar,4323,Bandaraya,Bank Rakyat Bangsar,3.635785235533652
AG06: Bandaraya,KJ17: Abdullah Hukum,5123,Bandaraya,Abdullah Hukum,3.709524355876341
AG06: Bandaraya,KJ18: Kerinchi,2570,Bandaraya,Kerinchi,3.4099331233312946
AG06: Bandaraya,KJ19: Universiti,6225,Bandaraya,Universiti,3.794139355767774
AG06: Bandaraya,KJ21: Asia Jaya,1437,Bandaraya,Asia Jaya,3.157456768134226
AG06: Bandaraya,KJ28: Subang Jaya,3632,Bandaraya,Subang Jaya,3.5601458398490475
AG06: Bandaraya,MR01: KL Sentral,1727,Bandaraya,KL Sentral,3.237292337567459
AG06: Bandaraya,MR04: Hang Tuah,16586,Bandaraya,Hang Tuah,4.219741661046302
AG06: Bandaraya,MR05: Imbi,7617,Bandaraya,Imbi,3.881783955593385
AG06: Bandaraya,MR06: Bukit Bintang,11670,Bandaraya,Bukit Bintang,4.06707085604537
AG06: Bandaraya,SP15: Bandar Tasik Selatan,24144,Bandaraya,Bandar Tasik Selatan,4.382809222431515
AG07: Masjid Jamek,AG04: PWTC,70293,Masjid Jamek,PWTC,4.846912078750439
